original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Abolboda grandis var. grandis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217312,TRUE,Abolboda grandis var. grandis,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:77169068-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77169068-1
Abrahamia buxifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3226802,TRUE,Abrahamia buxifolia,TRUE,Species,/taxon/urn:lsid:ipni.org:names:77175637-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77175637-1
Acacia pervillei var. pubescens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2613362,FALSE,Acacia pervillei var. pubescens,TRUE,Variety,/taxon/urn:lsid:ipni.org:names:20004614-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20004614-1
Achillea atrata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3109793,TRUE,Achillea atrata,TRUE,Species,/taxon/urn:lsid:ipni.org:names:173829-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:173829-1
Achillea atrata subsp. halleri,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3247461,FALSE,Achillea atrata subsp. halleri,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:3247461-4,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3247461-4
Achillea distans subsp. tanacetifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3109894,TRUE,Achillea distans subsp. tanacetifolia,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:84998-3,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:84998-3
Achillea millefolium subsp. collina,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3226105,TRUE,Achillea millefolium subsp. collina,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:60477839-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60477839-2
Achillea millefolium subsp. tanacetifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3232912,TRUE,Achillea distans subsp. tanacetifolia,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:84998-3,
Aegilops neglecta,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387486,TRUE,Aegilops neglecta,TRUE,Species,/taxon/urn:lsid:ipni.org:names:384624-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:384624-1
Aegilops ovata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:387496,TRUE,Aegilops neglecta,FALSE,Species,/taxon/urn:lsid:ipni.org:names:384624-1,
Aetheorhiza bulbosa subsp. willkommii,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3062466,TRUE,Sonchus bulbosus subsp. willkomii,FALSE,Subspecies,/taxon/urn:lsid:ipni.org:names:50426442-2,
Aethusa cynapium subsp. segetalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2624791,TRUE,Aethusa cynapium subsp. segetalis,TRUE,Subspecies,/taxon/urn:lsid:ipni.org:names:77250096-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77250096-1
